id_inmueble,consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,superficie_m2,categoria
VIV-00001,379.91,True,17,Casa,12,97,Ineficiente
COM-00002,3369.01,True,44,Comercio,12,169,Moderado
VIV-00003,375.82,True,20,Casa,6,73,Ineficiente
VIV-00004,373.16,True,15,Casa,6,40,Ineficiente
COM-00005,846.67,True,31,Comercio,12,117,Eficiente
VIV-00006,456.66,True,32,Casa,12,104,Ineficiente
VIV-00007,304.65,True,27,Casa,6,131,Moderado
COM-00008,1486.86,True,35,Comercio,12,47,Ineficiente
VIV-00009,240.1,True,17,Casa,6,48,Eficiente
VIV-00010,280.01,True,28,Casa,12,69,Moderado
VIV-00011,301.9,True,25,Casa,6,103,Moderado
VIV-00012,320.65,True,29,Casa,12,90,Moderado
VIV-00013,364.5,True,22,Casa,6,71,Moderado
VIV-00014,413.91,True,22,Casa,12,105,Ineficiente
COM-00015,1570.95,False,66,Comercio,12,115,Moderado
VIV-00016,225.94,True,16,Casa,12,87,Eficiente
VIV-00017,259.18,True,21,Casa,6,52,Eficiente
VIV-00018,356.54,True,14,Casa,12,77,Moderado
VIV-00019,432.0,True,27,Casa,6,132,Ineficiente
VIV-00020,396.68,True,28,Casa,6,59,Ineficiente
VIV-00021,242.6,True,13,Casa,6,124,Eficiente
VIV-00022,345.9,True,15,Casa,6,100,Moderado
COM-00023,3312.25,False,56,Comercio,12,96,Ineficiente
VIV-00024,255.59,True,21,Casa,12,127,Eficiente
VIV-00025,331.72,True,31,Casa,6,124,Moderado
VIV-00026,372.24,True,22,Casa,6,62,Ineficiente
COM-00027,1497.84,False,55,Comercio,12,98,Moderado
COM-00028,1425.94,False,63,Comercio,12,199,Eficiente
VIV-00029,324.66,True,29,Casa,6,79,Moderado
COM-00030,1004.39,True,59,Comercio,12,111,Eficiente
VIV-00031,233.98,True,14,Casa,6,74,Eficiente
VIV-00032,413.51,True,24,Casa,6,126,Ineficiente
VIV-00033,229.46,True,15,Casa,6,58,Eficiente
COM-00034,1687.52,False,40,Comercio,12,165,Eficiente
VIV-00035,349.38,True,12,Casa,6,118,Moderado
COM-00036,936.91,False,29,Comercio,12,191,Eficiente
VIV-00037,363.62,True,14,Casa,6,134,Moderado
VIV-00038,433.26,True,30,Casa,12,77,Ineficiente
COM-00039,2616.94,False,59,Comercio,12,153,Moderado
COM-00040,2665.03,True,48,Comercio,12,134,Moderado
COM-00041,1992.87,False,48,Comercio,12,120,Moderado
COM-00042,1536.75,True,30,Comercio,12,174,Eficiente
VIV-00043,278.37,True,29,Casa,6,73,Moderado
VIV-00044,223.99,True,13,Casa,6,108,Eficiente
VIV-00045,300.14,True,31,Casa,6,111,Moderado
VIV-00046,232.2,True,14,Casa,6,98,Eficiente
VIV-00047,272.4,True,28,Casa,6,80,Eficiente
VIV-00048,282.78,True,21,Casa,6,82,Moderado
VIV-00049,273.59,True,20,Casa,6,125,Eficiente
COM-00050,2321.25,True,41,Comercio,12,32,Ineficiente
COM-00051,1674.39,True,51,Comercio,12,78,Moderado
VIV-00052,365.67,True,22,Casa,6,62,Moderado
VIV-00053,271.35,True,28,Casa,6,83,Eficiente
VIV-00054,308.59,True,27,Casa,12,121,Moderado
VIV-00055,359.46,True,12,Casa,6,114,Moderado
COM-00056,2303.99,True,37,Comercio,12,33,Ineficiente
VIV-00057,253.0,True,24,Casa,6,106,Eficiente
VIV-00058,229.02,True,16,Casa,6,63,Eficiente
VIV-00059,283.99,True,24,Casa,6,52,Moderado
VIV-00060,250.11,True,15,Casa,12,67,Eficiente
VIV-00061,275.87,True,31,Casa,6,113,Eficiente
VIV-00062,247.82,True,18,Casa,6,69,Eficiente
COM-00063,2321.45,True,47,Comercio,12,106,Moderado
VIV-00064,397.37,True,29,Casa,12,67,Ineficiente
VIV-00065,294.58,True,24,Casa,12,47,Moderado
VIV-00066,291.24,True,28,Casa,12,118,Moderado
VIV-00067,384.21,True,24,Casa,6,82,Ineficiente
VIV-00068,339.26,True,14,Casa,6,58,Moderado
COM-00069,1654.42,False,40,Comercio,12,171,Eficiente
VIV-00070,361.69,True,15,Casa,6,82,Moderado
VIV-00071,284.65,True,30,Casa,6,102,Moderado
VIV-00072,263.83,True,23,Casa,6,109,Eficiente
VIV-00073,306.61,True,26,Casa,12,97,Moderado
VIV-00074,429.12,True,26,Casa,12,67,Ineficiente
VIV-00075,383.22,True,24,Casa,6,94,Ineficiente
COM-00076,1562.92,False,44,Comercio,12,31,Ineficiente
VIV-00077,411.78,True,25,Casa,12,127,Ineficiente
VIV-00078,412.5,True,25,Casa,6,125,Ineficiente
VIV-00079,267.22,True,19,Casa,6,117,Eficiente
COM-00080,2759.42,True,47,Comercio,12,159,Moderado
VIV-00081,289.58,True,27,Casa,6,115,Moderado
COM-00082,3293.35,True,35,Comercio,12,56,Ineficiente
COM-00083,1372.3,False,37,Comercio,12,65,Moderado
VIV-00084,225.43,True,15,Casa,6,64,Eficiente
VIV-00085,391.05,True,23,Casa,6,60,Ineficiente
VIV-00086,389.92,True,20,Casa,12,102,Ineficiente
VIV-00087,268.81,True,26,Casa,6,48,Eficiente
VIV-00088,399.95,True,28,Casa,6,87,Ineficiente
VIV-00089,227.88,True,17,Casa,6,69,Eficiente
VIV-00090,221.91,True,13,Casa,12,99,Eficiente
VIV-00091,342.43,True,13,Casa,6,99,Moderado
VIV-00092,297.55,True,24,Casa,6,48,Moderado
COM-00093,1796.99,False,70,Comercio,12,155,Eficiente
COM-00094,2239.45,False,57,Comercio,12,194,Eficiente
VIV-00095,348.65,True,16,Casa,6,58,Moderado
COM-00096,904.58,True,63,Comercio,12,33,Ineficiente
COM-00097,1046.2,False,41,Comercio,12,183,Eficiente
VIV-00098,218.75,True,12,Casa,6,86,Eficiente
VIV-00099,380.74,True,26,Casa,6,86,Ineficiente
COM-00100,2666.21,False,36,Comercio,12,64,Ineficiente
VIV-00101,242.58,True,19,Casa,6,89,Eficiente
COM-00102,2114.78,False,57,Comercio,12,85,Ineficiente
VIV-00103,249.59,True,26,Casa,6,54,Eficiente
VIV-00104,289.06,True,30,Casa,6,74,Moderado
COM-00105,1516.14,True,47,Comercio,12,31,Ineficiente
COM-00106,2099.22,False,48,Comercio,12,64,Ineficiente
COM-00107,2833.95,False,41,Comercio,12,81,Ineficiente
VIV-00108,222.15,True,15,Casa,12,100,Eficiente
VIV-00109,276.75,True,22,Casa,6,85,Moderado
VIV-00110,429.89,True,25,Casa,12,85,Ineficiente
VIV-00111,229.77,True,12,Casa,6,110,Eficiente
VIV-00112,391.1,True,18,Casa,12,108,Ineficiente
VIV-00113,292.36,True,26,Casa,6,102,Moderado
VIV-00114,341.34,True,13,Casa,12,116,Moderado
COM-00115,2695.55,True,40,Comercio,12,160,Moderado
COM-00116,2369.54,True,46,Comercio,12,112,Moderado
VIV-00117,288.78,True,23,Casa,12,66,Moderado
VIV-00118,384.71,True,17,Casa,12,99,Ineficiente
VIV-00119,347.88,True,13,Casa,6,51,Moderado
VIV-00120,410.63,True,32,Casa,6,85,Ineficiente
COM-00121,2170.22,True,45,Comercio,12,116,Moderado
COM-00122,1476.31,True,58,Comercio,12,149,Eficiente
VIV-00123,373.59,True,22,Casa,12,128,Ineficiente
VIV-00124,279.79,True,27,Casa,6,99,Moderado
COM-00125,3220.03,True,34,Comercio,12,55,Ineficiente
VIV-00126,395.44,True,27,Casa,12,129,Ineficiente
VIV-00127,359.38,True,20,Casa,6,97,Moderado
VIV-00128,363.62,True,15,Casa,12,62,Moderado
COM-00129,2163.25,False,52,Comercio,12,43,Ineficiente
VIV-00130,287.37,True,22,Casa,12,159,Moderado
VIV-00131,226.83,True,15,Casa,6,91,Eficiente
COM-00132,1188.36,False,52,Comercio,12,67,Moderado
VIV-00133,405.79,True,26,Casa,6,136,Ineficiente
VIV-00134,264.31,True,19,Casa,12,67,Eficiente
VIV-00135,373.16,True,16,Casa,12,84,Ineficiente
VIV-00136,235.28,True,20,Casa,6,133,Eficiente
VIV-00137,232.51,True,15,Casa,12,107,Eficiente
VIV-00138,404.82,True,26,Casa,6,79,Ineficiente
VIV-00139,261.12,True,24,Casa,6,102,Eficiente
VIV-00140,395.79,True,24,Casa,6,108,Ineficiente
VIV-00141,355.54,True,18,Casa,6,47,Moderado
VIV-00142,360.62,True,19,Casa,6,53,Moderado
VIV-00143,377.38,True,19,Casa,6,125,Ineficiente
VIV-00144,427.18,True,26,Casa,6,48,Ineficiente
VIV-00145,359.35,True,18,Casa,6,109,Moderado
VIV-00146,370.89,True,25,Casa,6,114,Ineficiente
COM-00147,1479.38,True,55,Comercio,12,81,Moderado
VIV-00148,287.28,True,22,Casa,6,113,Moderado
COM-00149,1058.93,False,50,Comercio,12,147,Eficiente
VIV-00150,319.3,True,30,Casa,6,58,Moderado
VIV-00151,257.26,True,18,Casa,6,63,Eficiente
VIV-00152,373.64,True,20,Casa,12,105,Ineficiente
COM-00153,2343.96,True,53,Comercio,12,52,Ineficiente
VIV-00154,270.59,True,20,Casa,6,98,Eficiente
VIV-00155,225.33,True,13,Casa,6,100,Eficiente
VIV-00156,331.9,True,30,Casa,6,51,Moderado
VIV-00157,417.03,True,28,Casa,6,91,Ineficiente
VIV-00158,380.09,True,23,Casa,6,79,Ineficiente
COM-00159,2081.43,True,65,Comercio,12,89,Ineficiente
VIV-00160,223.15,True,13,Casa,6,83,Eficiente
VIV-00161,381.24,True,21,Casa,6,102,Ineficiente
VIV-00162,350.6,True,12,Casa,12,58,Moderado
VIV-00163,423.06,True,31,Casa,12,140,Ineficiente
VIV-00164,300.38,True,27,Casa,6,48,Moderado
COM-00165,2830.28,False,52,Comercio,12,167,Moderado
COM-00166,1419.37,True,49,Comercio,12,99,Moderado
VIV-00167,314.89,True,27,Casa,12,140,Moderado
VIV-00168,378.79,True,27,Casa,12,73,Ineficiente
VIV-00169,293.96,True,27,Casa,6,60,Moderado
VIV-00170,352.33,True,13,Casa,6,93,Moderado
VIV-00171,375.86,True,17,Casa,6,89,Ineficiente
VIV-00172,287.01,True,32,Casa,12,96,Moderado
VIV-00173,234.88,True,13,Casa,12,79,Eficiente
VIV-00174,382.28,True,28,Casa,12,88,Ineficiente
VIV-00175,343.97,True,13,Casa,6,147,Moderado
VIV-00176,386.63,True,21,Casa,6,111,Ineficiente
VIV-00177,389.09,True,18,Casa,12,127,Ineficiente
COM-00178,1437.19,False,32,Comercio,12,186,Eficiente
VIV-00179,368.1,True,17,Casa,6,57,Moderado
VIV-00180,401.63,True,27,Casa,6,57,Ineficiente
VIV-00181,418.77,True,30,Casa,12,109,Ineficiente
COM-00182,845.06,True,27,Comercio,12,92,Eficiente
VIV-00183,302.94,True,28,Casa,12,48,Moderado
COM-00184,2250.54,False,37,Comercio,12,138,Moderado
COM-00185,2266.63,False,58,Comercio,12,76,Ineficiente
VIV-00186,247.72,True,15,Casa,12,65,Eficiente
VIV-00187,373.23,True,22,Casa,6,76,Ineficiente
VIV-00188,270.38,True,31,Casa,12,110,Eficiente
COM-00189,2297.11,False,58,Comercio,12,33,Ineficiente
VIV-00190,259.47,True,17,Casa,6,63,Eficiente
VIV-00191,226.49,True,12,Casa,6,78,Eficiente
COM-00192,973.42,False,63,Comercio,12,130,Eficiente
VIV-00193,247.21,True,21,Casa,6,54,Eficiente
VIV-00194,353.81,True,18,Casa,6,113,Moderado
COM-00195,1166.15,False,54,Comercio,12,64,Moderado
VIV-00196,320.89,True,31,Casa,12,103,Moderado
VIV-00197,388.24,True,27,Casa,6,108,Ineficiente
COM-00198,3231.17,True,45,Comercio,12,50,Ineficiente
VIV-00199,364.78,True,23,Casa,12,86,Moderado
COM-00200,2747.7,True,57,Comercio,12,126,Moderado
COM-00201,959.72,False,35,Comercio,12,138,Eficiente
COM-00202,2576.35,True,44,Comercio,12,138,Moderado
VIV-00203,427.76,True,31,Casa,6,131,Ineficiente
VIV-00204,373.84,True,17,Casa,6,77,Ineficiente
VIV-00205,321.54,True,31,Casa,12,114,Moderado
COM-00206,1569.88,True,40,Comercio,12,166,Eficiente
COM-00207,1537.72,True,54,Comercio,12,85,Moderado
VIV-00208,253.83,True,19,Casa,12,115,Eficiente
VIV-00209,360.76,True,20,Casa,12,99,Moderado
VIV-00210,416.09,True,24,Casa,6,102,Ineficiente
VIV-00211,342.93,True,13,Casa,6,98,Moderado
VIV-00212,431.87,True,29,Casa,12,108,Ineficiente
VIV-00213,334.42,True,30,Casa,6,73,Moderado
VIV-00214,378.2,True,23,Casa,6,101,Ineficiente
VIV-00215,235.24,True,21,Casa,12,132,Eficiente
VIV-00216,345.96,True,12,Casa,6,82,Moderado
VIV-00217,377.48,True,21,Casa,6,70,Ineficiente
VIV-00218,232.31,True,14,Casa,6,113,Eficiente
COM-00219,1526.11,True,34,Comercio,12,86,Moderado
VIV-00220,374.01,True,19,Casa,12,128,Ineficiente
COM-00221,2198.74,False,47,Comercio,12,142,Moderado
COM-00222,1361.54,False,27,Comercio,12,185,Eficiente
VIV-00223,405.0,True,24,Casa,6,85,Ineficiente
VIV-00224,215.15,True,12,Casa,12,110,Eficiente
VIV-00225,334.53,True,12,Casa,6,92,Moderado
VIV-00226,277.67,True,28,Casa,6,40,Moderado
VIV-00227,440.55,True,27,Casa,12,47,Ineficiente
COM-00228,1231.2,False,61,Comercio,12,65,Moderado
VIV-00229,242.92,True,15,Casa,6,73,Eficiente
VIV-00230,283.32,True,22,Casa,6,119,Moderado
VIV-00231,375.62,True,19,Casa,12,40,Ineficiente
COM-00232,1479.24,False,48,Comercio,12,200,Eficiente
VIV-00233,240.62,True,16,Casa,12,100,Eficiente
VIV-00234,378.66,True,28,Casa,6,40,Ineficiente
VIV-00235,275.0,True,21,Casa,6,68,Eficiente
COM-00236,2012.61,False,36,Comercio,12,91,Moderado
VIV-00237,421.67,True,29,Casa,6,107,Ineficiente
VIV-00238,383.49,True,30,Casa,6,115,Ineficiente
VIV-00239,402.3,True,22,Casa,12,74,Ineficiente
COM-00240,2308.48,False,44,Comercio,12,150,Moderado
VIV-00241,236.52,True,18,Casa,6,79,Eficiente
VIV-00242,374.77,True,19,Casa,6,104,Ineficiente
VIV-00243,394.94,True,29,Casa,6,128,Ineficiente
VIV-00244,398.89,True,23,Casa,12,94,Ineficiente
COM-00245,2634.36,True,65,Comercio,12,162,Moderado
COM-00246,870.08,False,40,Comercio,12,31,Ineficiente
VIV-00247,367.8,True,16,Casa,12,91,Moderado
COM-00248,1184.66,True,55,Comercio,12,191,Eficiente
VIV-00249,409.85,True,24,Casa,6,104,Ineficiente
VIV-00250,427.56,True,28,Casa,12,106,Ineficiente
COM-00251,1701.89,False,54,Comercio,12,33,Ineficiente
VIV-00252,282.7,True,24,Casa,6,114,Moderado
VIV-00253,341.86,True,14,Casa,12,94,Moderado
VIV-00254,265.18,True,24,Casa,12,92,Eficiente
VIV-00255,276.4,True,23,Casa,12,64,Moderado
COM-00256,840.62,True,38,Comercio,12,198,Eficiente
COM-00257,2274.17,False,68,Comercio,12,159,Moderado
VIV-00258,228.47,True,15,Casa,6,40,Eficiente
VIV-00259,252.07,True,18,Casa,6,104,Eficiente
VIV-00260,274.21,True,26,Casa,6,83,Eficiente
VIV-00261,294.98,True,24,Casa,12,113,Moderado
VIV-00262,358.92,True,12,Casa,6,93,Moderado
VIV-00263,381.6,True,23,Casa,12,91,Ineficiente
VIV-00264,403.35,True,31,Casa,12,56,Ineficiente
VIV-00265,292.7,True,31,Casa,6,103,Moderado
VIV-00266,350.82,True,12,Casa,6,96,Moderado
VIV-00267,346.64,True,16,Casa,6,82,Moderado
VIV-00268,426.89,True,25,Casa,12,73,Ineficiente
VIV-00269,233.28,True,12,Casa,6,68,Eficiente
COM-00270,3441.99,False,46,Comercio,12,72,Ineficiente
COM-00271,2387.77,False,72,Comercio,12,170,Moderado
VIV-00272,389.92,True,26,Casa,6,62,Ineficiente
COM-00273,940.39,False,57,Comercio,12,87,Eficiente
COM-00274,2232.45,False,65,Comercio,12,141,Moderado
COM-00275,2298.49,True,39,Comercio,12,165,Moderado
COM-00276,2109.83,True,47,Comercio,12,197,Eficiente
VIV-00277,276.21,True,30,Casa,6,96,Eficiente
