id_registro,id_inmueble,anio_mes_dd,pais_ubicacion,tipo_establecimiento,categoria_comercio,superficie_m2,habitantes_empleados,total_equipos,potencia_total_watts,tiene_inverter,porcentaje_inverter,consumo_kwh_dia,consumo_kwh_mes,intensidad_energetica_kwh_m2,costo_factura_usd,costo_factura_moneda_local,codigo_moneda,pct_dist_madrugada,pct_dist_manana,pct_dist_tarde,pct_dist_noche,franja_pico_dominante,efficiency_label
REG-00001,VIV-00000,2026-07-01,Colombia,Vivienda,No Aplica,84,5,13.0,1545.0,1.0,0.6667,7.1283,213.85,2.5458,160.39,657599.0,COP,0.091,0.2147,0.1973,0.497,noche,Ineficiente
REG-00002,VIV-00001,2026-07-01,Brasil,Vivienda,No Aplica,42,2,29.0,1955.0,1.0,0.3333,12.3223,369.67,8.8017,277.25,1511.01,BRL,0.153,0.1517,0.1871,0.5082,noche,Ineficiente
REG-00003,VIV-00002,2026-07-01,Mexico,Vivienda,No Aplica,100,6,17.0,1775.0,1.0,0.3333,11.8607,355.82,3.5582,266.87,4937.1,MXN,0.0837,0.1435,0.1839,0.5888,noche,Ineficiente
REG-00004,VIV-00003,2026-07-01,Peru,Vivienda,No Aplica,101,5,27.0,1755.0,1.0,0.6667,8.49,254.7,2.5218,191.02,716.33,PEN,0.091,0.1417,0.2122,0.5552,noche,Ineficiente
REG-00005,VIV-00004,2026-07-01,Mexico,Vivienda,No Aplica,72,3,30.0,1970.0,1.0,0.3333,13.1107,393.32,5.4628,294.99,5457.32,MXN,0.1439,0.2015,0.1973,0.4573,noche,Ineficiente
REG-00006,VIV-00005,2026-07-01,Brasil,Vivienda,No Aplica,94,6,24.0,1710.0,1.0,0.6667,8.1363,244.09,2.5967,183.07,997.73,BRL,0.0894,0.1328,0.2416,0.5362,noche,Ineficiente
REG-00007,VIV-00006,2026-07-01,Brasil,Vivienda,No Aplica,124,5,12.0,1530.0,1.0,0.6667,6.978,209.34,1.6882,157.0,855.65,BRL,0.1388,0.1224,0.2741,0.4646,noche,Moderado
REG-00008,VIV-00007,2026-07-01,Chile,Vivienda,No Aplica,40,6,31.0,1815.0,1.0,0.6667,8.4777,254.33,6.3582,190.75,175490.0,CLP,0.1146,0.2034,0.2257,0.4563,noche,Ineficiente
REG-00009,VIV-00008,2026-07-01,Brasil,Vivienda,No Aplica,95,3,22.0,1680.0,1.0,0.6667,7.98,239.4,2.52,179.55,978.55,BRL,0.1206,0.125,0.22,0.5345,noche,Ineficiente
REG-00010,VIV-00009,2026-07-01,Chile,Vivienda,No Aplica,87,4,20.0,1820.0,1.0,0.3333,11.9227,357.68,4.1113,268.26,246799.2,CLP,0.1559,0.1961,0.2368,0.4111,noche,Ineficiente
