id_equipo,id_inmueble,tipo_equipo,cantidad_equipos,potencia_watts,tecnologia_inverter,horas_uso_estimadas_dia,consumo_kwh_dia_equipo
EQ-00001,VIV-00001,Iluminacion,15,15,True,10.95,2.4638
EQ-00002,VIV-00001,Refrigeracion,1,350,False,24.0,8.4
EQ-00003,VIV-00001,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00004,COM-00002,Iluminacion,28,15,True,8.81,3.7002
EQ-00005,COM-00002,Climatizacion,3,2200,True,9.0,59.4
EQ-00006,COM-00002,Computacion,11,150,True,8.0,13.2
EQ-00007,COM-00002,Refrigeracion,2,750,False,24.0,36.0
EQ-00008,VIV-00003,Iluminacion,18,15,True,8.62,2.3274
EQ-00009,VIV-00003,Refrigeracion,1,350,False,24.0,8.4
EQ-00010,VIV-00003,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00011,VIV-00004,Iluminacion,13,15,True,11.48,2.2386
EQ-00012,VIV-00004,Refrigeracion,1,350,False,24.0,8.4
EQ-00013,VIV-00004,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00014,COM-00005,Iluminacion,25,15,True,6.46,2.4225
EQ-00015,COM-00005,Climatizacion,1,2200,True,9.0,19.8
EQ-00016,COM-00005,Computacion,5,150,True,8.0,6.0
EQ-00017,VIV-00006,Iluminacion,30,15,True,11.16,5.022
EQ-00018,VIV-00006,Refrigeracion,1,350,False,24.0,8.4
EQ-00019,VIV-00006,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00020,VIV-00007,Iluminacion,25,15,True,10.76,4.035
EQ-00021,VIV-00007,Refrigeracion,1,180,True,24.0,4.32
EQ-00022,VIV-00007,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00023,COM-00008,Iluminacion,27,15,True,6.82,2.7621
EQ-00024,COM-00008,Climatizacion,2,2200,True,9.0,39.6
EQ-00025,COM-00008,Computacion,6,150,True,8.0,7.2
EQ-00026,VIV-00009,Iluminacion,15,15,True,8.37,1.8832
EQ-00027,VIV-00009,Refrigeracion,1,180,True,24.0,4.32
EQ-00028,VIV-00009,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00029,VIV-00010,Iluminacion,26,15,True,8.24,3.2136
EQ-00030,VIV-00010,Refrigeracion,1,180,True,24.0,4.32
EQ-00031,VIV-00010,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00032,VIV-00011,Iluminacion,23,15,True,11.43,3.9434
EQ-00033,VIV-00011,Refrigeracion,1,180,True,24.0,4.32
EQ-00034,VIV-00011,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00035,VIV-00012,Iluminacion,27,15,True,11.28,4.5684
EQ-00036,VIV-00012,Refrigeracion,1,180,True,24.0,4.32
EQ-00037,VIV-00012,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00038,VIV-00013,Iluminacion,20,15,True,6.5,1.95
EQ-00039,VIV-00013,Refrigeracion,1,350,False,24.0,8.4
EQ-00040,VIV-00013,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00041,VIV-00014,Iluminacion,20,15,True,11.99,3.597
EQ-00042,VIV-00014,Refrigeracion,1,350,False,24.0,8.4
EQ-00043,VIV-00014,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00044,COM-00015,Iluminacion,60,15,True,8.85,7.965
EQ-00045,COM-00015,Climatizacion,2,2200,False,9.0,39.6
EQ-00046,COM-00015,Computacion,4,150,True,8.0,4.8
EQ-00047,VIV-00016,Iluminacion,14,15,True,6.72,1.4112
EQ-00048,VIV-00016,Refrigeracion,1,180,True,24.0,4.32
EQ-00049,VIV-00016,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00050,VIV-00017,Iluminacion,19,15,True,8.84,2.5194
EQ-00051,VIV-00017,Refrigeracion,1,180,True,24.0,4.32
EQ-00052,VIV-00017,Otros / Fuerza Motriz,1,1200,False,1.5,1.8
EQ-00053,VIV-00018,Iluminacion,12,15,True,9.36,1.6848
